"index","actsin_id","movie_id","actor_id"
"0","1","37","1"
"1","2","56","2"
"2","3","10","3"
"3","4","14","3"
"4","5","29","3"
"5","6","56","3"
"6","7","53","4"
"7","8","59","5"
"8","9","7","6"
"9","10","46","7"
"10","11","71","8"
"11","12","17","9"
"12","13","70","10"
"13","14","16","11"
"14","15","19","12"
"15","16","40","13"
"16","17","20","14"
"17","18","14","15"
"18","19","27","16"
"19","20","52","17"
"20","21","58","18"
"21","22","60","19"
"22","23","39","20"
"23","24","10","21"
"24","25","30","21"
"25","26","70","21"
"26","27","67","22"
"27","28","8","23"
"28","29","27","23"
"29","30","46","23"
"30","31","57","23"
"31","32","41","24"
"32","33","30","24"
"33","34","53","25"
"34","35","39","25"
"35","36","27","26"
"36","37","63","27"
"37","38","65","28"
"38","39","14","29"
"39","40","25","30"
"40","41","40","30"
"41","42","43","31"
"42","43","6","32"
"43","44","13","32"
"44","45","28","32"
"45","46","31","32"
"46","47","44","32"
"47","48","49","32"
"48","49","54","32"
"49","50","61","32"
"50","51","4","33"
"51","52","15","34"
"52","53","51","34"
"53","54","47","35"
"54","55","11","36"
"55","56","60","37"
"56","57","17","38"
"57","58","16","39"
"58","59","5","40"
"59","60","12","40"
"60","61","21","40"
"61","62","35","40"
"62","63","58","41"
"63","64","6","42"
"64","65","13","42"
"65","66","28","42"
"66","67","31","42"
"67","68","44","42"
"68","69","49","42"
"69","70","54","42"
"70","71","61","42"
"71","72","4","43"
"72","73","22","44"
"73","74","45","45"
"74","75","15","45"
"75","76","48","46"
"76","77","7","47"
"77","78","24","47"
"78","79","37","48"
"79","80","45","49"
"80","81","7","50"
"81","82","18","51"
"82","83","64","52"
"83","84","2","52"
"84","85","51","53"
"85","86","37","54"
"86","87","22","55"
"87","88","3","56"
"88","89","32","56"
"89","90","40","56"
"90","91","62","56"
"91","92","59","57"
"92","93","20","58"
"93","94","25","58"
"94","95","2","59"
"95","96","35","59"
"96","97","33","60"
"97","98","5","61"
"98","99","12","61"
"99","100","21","61"
"100","101","22","62"
"101","102","15","63"
"102","103","26","64"
"103","104","41","64"
"104","105","63","64"
"105","106","67","64"
"106","107","42","65"
"107","108","41","66"
"108","109","50","67"
"109","110","66","67"
"110","111","23","68"
"111","112","43","69"
"112","113","71","70"
"113","114","64","71"
"114","115","69","72"
"115","116","62","73"
"116","117","50","73"
"117","118","45","74"
"118","119","2","75"
"119","120","42","76"
"120","121","66","77"
"121","122","68","78"
"122","123","47","79"
"123","124","56","80"
"124","125","38","81"
"125","126","26","82"
"126","127","50","83"
"127","128","48","84"
"128","129","63","85"
"129","130","66","86"
"130","131","20","87"
"131","132","55","88"
"132","133","1","89"
"133","134","36","90"
"134","135","67","90"
"135","136","24","91"
"136","137","3","92"
"137","138","53","93"
"138","139","9","94"
"139","140","1","95"
"140","141","34","96"
"141","142","47","96"
"142","143","29","96"
"143","144","3","97"
"144","145","18","98"
"145","146","36","99"
"146","147","9","100"
"147","148","52","101"
"148","149","19","101"
"149","150","33","102"
"150","151","55","102"
"151","152","8","103"
"152","153","46","104"
"153","154","36","105"
"154","155","65","105"
"155","156","69","105"
"156","157","48","105"
"157","158","43","106"
"158","159","17","106"
"159","160","8","107"
"160","161","57","108"
"161","162","57","109"
"162","163","1","110"
"163","164","30","111"
"164","165","16","111"
"165","166","51","112"
"166","167","10","113"
"167","168","24","114"
"168","169","26","115"
"169","170","25","116"
"170","171","11","117"
"171","172","29","117"
"172","173","23","118"
"173","174","39","118"
"174","175","11","119"
"175","176","18","120"
"176","177","68","121"
"177","178","35","122"
"178","179","6","123"
"179","180","13","123"
"180","181","28","123"
"181","182","31","123"
"182","183","44","123"
"183","184","49","123"
"184","185","54","123"
"185","186","61","123"
"186","187","59","124"
"187","188","38","125"
"188","189","34","126"
"189","190","32","127"
"190","191","55","128"
"191","192","4","129"
"192","193","60","130"
"193","194","9","131"
"194","195","19","131"
"195","196","52","131"
"196","197","68","132"
"197","198","38","133"
"198","199","33","134"
"199","200","23","135"
"200","201","64","136"
"201","202","70","136"
"202","203","42","137"
"203","204","32","138"
"204","205","69","139"
"205","206","5","140"
"206","207","12","140"
"207","208","21","140"
"208","209","58","141"
"209","210","65","142"
"210","211","71","143"
"211","212","62","144"
"212","213","34","145"
